open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2025-06-04 07:00:00,36.728,36.76,36.0,36.186,268253.36,2025-06-04 07:59:59.999,9719154.6633,35657,127607.69,4622511.5572100,0
2025-06-04 08:00:00,36.186,36.582,36.167,36.432,144928.14,2025-06-04 08:59:59.999,5276169.99871,30718,69248.05,2521549.2977700,0
2025-06-04 09:00:00,36.434,36.575,36.072,36.533,154261.35,2025-06-04 09:59:59.999,5606463.05918,32460,78179.43,2841258.1043600,0
2025-06-04 10:00:00,36.533,36.81,36.462,36.69,149133.9,2025-06-04 10:59:59.999,5465799.17686,26519,80112.08,2936144.2422200,0
2025-06-04 11:00:00,36.688,37.24,36.43,36.606,310562.08,2025-06-04 11:59:59.999,11448391.45431,52542,159155.70,5867670.9106400,0
2025-06-04 12:00:00,36.612,37.025,36.268,36.442,216494.69,2025-06-04 12:59:59.999,7916590.77297,42266,110455.98,4039852.6099200,0
2025-06-04 13:00:00,36.438,36.978,36.131,36.244,266423.18,2025-06-04 13:59:59.999,9736258.43099,46671,128670.64,4699436.3652600,0
2025-06-04 14:00:00,36.25,36.863,35.976,36.807,280545.67,2025-06-04 14:59:59.999,10188333.14526,49801,147323.43,5351705.6019800,0
2025-06-04 15:00:00,36.806,37.142,36.668,36.851,196795.06,2025-06-04 15:59:59.999,7265649.28591,37688,89244.71,3296440.3515800,0
2025-06-04 16:00:00,36.844,37.071,36.697,37.053,98372.46,2025-06-04 16:59:59.999,3628233.36636,22555,48302.15,1782054.9672300,0
2025-06-04 17:00:00,37.056,37.19,36.462,36.718,133072.59,2025-06-04 17:59:59.999,4894549.09849,30620,63251.27,2326636.7172700,0
2025-06-04 18:00:00,36.727,37.05,36.259,36.287,178966.78,2025-06-04 18:59:59.999,6570390.98756,29905,86238.91,3163558.8282800,0
2025-06-04 19:00:00,36.287,36.537,35.93,36.033,202864.59,2025-06-04 19:59:59.999,7347192.29597,35536,106494.64,3858751.2183300,0
2025-06-04 20:00:00,36.032,36.215,34.608,34.976,733361.17,2025-06-04 20:59:59.999,25838512.66792,91654,354345.84,12477687.8267500,0
2025-06-04 21:00:00,34.974,35.489,34.479,35.418,291672.51,2025-06-04 21:59:59.999,10184535.21844,47195,160777.69,5619952.8543600,0
2025-06-04 22:00:00,35.418,35.686,35.215,35.468,209953.57,2025-06-04 22:59:59.999,7444636.30244,32730,92371.54,3276622.7169700,0
2025-06-04 23:00:00,35.469,35.857,35.326,35.632,214473.79,2025-06-04 23:59:59.999,7646509.06183,34855,100509.10,3584285.1495600,0
2025-06-05 00:00:00,35.64,36.426,35.288,36.135,267558.33,2025-06-05 00:59:59.999,9605017.45252,47446,137278.67,4929672.3167500,0
